epoch,train_loss,val_loss,val_auc_macro,lr,time_sec,sens_melanoma,spec_melanoma,sens_basal_cell_carcinoma,spec_basal_cell_carcinoma
0,1.1801774334742536,1.070372351002621,0.8158797186848377,0.001,43.0,0.2895927601809955,0.912987012987013,0.26666666666666666,0.982532751091703
1,1.0820687236876636,0.9730398551486695,0.8105183802740997,0.0008535680352542143,43.0,0.09502262443438914,0.9948051948051948,0.6,0.8908296943231441
2,1.0066340262502123,0.9406442630182722,0.8427166592510514,0.0005000499999999999,43.1,0.167420814479638,0.9727272727272728,0.4266666666666667,0.9497816593886463
3,0.9651388772424943,0.9180870629944787,0.8385301361179259,0.0001465319647457856,43.2,0.2398190045248869,0.9558441558441558,0.5333333333333333,0.9224890829694323
4,0.923744687984559,0.9100684286005922,0.8400457252406536,0.001,42.3,0.2986425339366516,0.9337662337662338,0.4533333333333333,0.9574235807860262
5,0.9683015816764435,0.9654882714438029,0.8121242009786653,0.0008535680352542143,42.3,0.23076923076923078,0.925974025974026,0.49333333333333335,0.9268558951965066
6,0.9701649827115676,0.916274546614569,0.8408935238707487,0.0005000499999999999,42.2,0.4751131221719457,0.8311688311688312,0.52,0.9355895196506551
7,0.9413350787542271,0.890749739229258,0.8374809608072245,0.0001465319647457856,42.2,0.43891402714932126,0.8792207792207792,0.4666666666666667,0.9552401746724891
8,0.9021150636837969,0.8728918972698639,0.8460280810432532,0.001,42.3,0.3891402714932127,0.9142857142857143,0.48,0.9454148471615721
9,0.939874596455518,0.916213994310073,0.8414924049093325,0.0008535680352542143,42.2,0.25339366515837103,0.964935064935065,0.4666666666666667,0.9465065502183406
