epoch,train_loss,val_loss,val_auc_macro,lr,time_sec,sens_melanoma,spec_melanoma,sens_basal_cell_carcinoma,spec_basal_cell_carcinoma,sens_squamous_cell_carcinoma,spec_squamous_cell_carcinoma
0,1.1667328585256127,0.8161161959171295,0.8601665498925735,1e-05,56.0,0.3905579399141631,0.8792977322604243,0.47297297297297297,0.9554390563564875,0.25925925925925924,0.9758423394787031
1,1.1697628576325956,0.8076262950897217,0.860284246624525,8.550178566873412e-06,56.0,0.351931330472103,0.9049012435991222,0.3918918918918919,0.9541284403669725,0.2962962962962963,0.9777495232040686
2,1.1376680943284032,0.7850291812419892,0.8658770578848882,5.05e-06,56.1,0.34334763948497854,0.908558888076079,0.43243243243243246,0.9554390563564875,0.25925925925925924,0.9834710743801653
3,1.1664275580097665,0.8153545546531678,0.8589924015759907,1.54982143312659e-06,56.1,0.36909871244635195,0.888807607900512,0.4594594594594595,0.9587155963302753,0.2962962962962963,0.9777495232040686
4,1.173453518598573,0.8033120381832123,0.8601186406194306,1e-05,56.1,0.3905579399141631,0.8983174835405998,0.4189189189189189,0.9639580602883355,0.3333333333333333,0.9713922441195169
5,1.1629833107176677,0.7907947838306427,0.86545013699954,8.550178566873412e-06,56.2,0.37339055793991416,0.8968544257498171,0.4864864864864865,0.963302752293578,0.3333333333333333,0.9834710743801653
6,1.1708179223401707,0.7946548068523407,0.8592589041618099,5.05e-06,56.4,0.38197424892703863,0.9005120702267739,0.3918918918918919,0.9593709043250328,0.18518518518518517,0.9815638906547998
7,1.151281999112453,0.797721974849701,0.8582522918636675,1.54982143312659e-06,56.3,0.40772532188841204,0.8910021945866862,0.36486486486486486,0.9619921363040629,0.25925925925925924,0.9790209790209791
8,1.1481492792769559,0.7938464641571045,0.864093572249005,1e-05,56.3,0.3648068669527897,0.8997805413313826,0.43243243243243246,0.9554390563564875,0.2962962962962963,0.9771137952956135
9,1.1563332211867483,0.8084349429607391,0.8600350908582322,8.550178566873412e-06,56.3,0.3776824034334764,0.8895391367959035,0.44594594594594594,0.9554390563564875,0.2962962962962963,0.9752066115702479
