image_id,height,width,mean_pixel,flag
ISIC_0032069,450,600,141.06,OK
ISIC_0029007,450,600,152.63,OK
ISIC_0029657,450,600,139.48,OK
ISIC_0025774,450,600,161.16,OK
ISIC_0028914,450,600,146.78,OK
ISIC_0026020,450,600,162.03,OK
ISIC_0030646,450,600,136.2,OK
ISIC_0025177,450,600,175.29,OK
ISIC_0027530,450,600,163.93,OK
ISIC_0029049,450,600,168.91,OK
ISIC_0029018,450,600,157.94,OK
ISIC_0026934,450,600,195.71,OK
ISIC_0026346,450,600,172.36,OK
ISIC_0032475,450,600,171.65,OK
ISIC_0032294,450,600,176.13,OK
ISIC_0030164,450,600,164.43,OK
ISIC_0032267,450,600,141.69,OK
ISIC_0026632,450,600,136.83,OK
ISIC_0026589,450,600,154.15,OK
ISIC_0028904,450,600,143.25,OK
ISIC_0031409,450,600,142.06,OK
ISIC_0028732,450,600,141.15,OK
ISIC_0024491,450,600,111.1,OK
ISIC_0031695,450,600,205.12,OK
ISIC_0030478,450,600,146.66,OK
ISIC_0032217,450,600,185.06,OK
ISIC_0029214,450,600,187.37,OK
ISIC_0028417,450,600,175.28,OK
ISIC_0032155,450,600,144.96,OK
ISIC_0030891,450,600,157.98,OK
ISIC_0027186,450,600,168.02,OK
ISIC_0029717,450,600,145.71,OK
ISIC_0032205,450,600,141.96,OK
ISIC_0030838,450,600,159.74,OK
ISIC_0029869,450,600,137.18,OK
ISIC_0028724,450,600,189.14,OK
ISIC_0031892,450,600,172.89,OK
ISIC_0027112,450,600,173.9,OK
ISIC_0028988,450,600,168.56,OK
ISIC_0026367,450,600,197.43,OK
ISIC_0028423,450,600,177.84,OK
ISIC_0025621,450,600,195.63,OK
ISIC_0024594,450,600,197.43,OK
ISIC_0029845,450,600,178.02,OK
ISIC_0027444,450,600,191.6,OK
ISIC_0025702,450,600,181.25,OK
ISIC_0031617,450,600,180.55,OK
ISIC_0025173,450,600,204.29,OK
ISIC_0027644,450,600,168.1,OK
ISIC_0032376,450,600,133.19,OK
ISIC_0031091,450,600,161.74,OK
ISIC_0028576,450,600,164.42,OK
ISIC_0029790,450,600,171.12,OK
ISIC_0027898,450,600,166.02,OK
ISIC_0030640,450,600,194.73,OK
ISIC_0029534,450,600,161.37,OK
ISIC_0031178,450,600,187.7,OK
ISIC_0030629,450,600,199.42,OK
ISIC_0027757,450,600,160.13,OK
ISIC_0026819,450,600,171.87,OK
ISIC_0028791,450,600,159.53,OK
ISIC_0027501,450,600,171.15,OK
ISIC_0029190,450,600,172.02,OK
ISIC_0027855,450,600,180.13,OK
ISIC_0026730,450,600,181.18,OK
ISIC_0028247,450,600,159.87,OK
ISIC_0026890,450,600,179.25,OK
ISIC_0030672,450,600,196.4,OK
ISIC_0028755,450,600,190.28,OK
ISIC_0027062,450,600,179.12,OK
ISIC_0032363,450,600,198.17,OK
ISIC_0025638,450,600,179.22,OK
ISIC_0030980,450,600,212.1,OK
ISIC_0024597,450,600,195.18,OK
ISIC_0026519,450,600,178.45,OK
ISIC_0026726,450,600,178.57,OK
ISIC_0029886,450,600,170.16,OK
ISIC_0029875,450,600,155.39,OK
ISIC_0031426,450,600,168.5,OK
ISIC_0026110,450,600,164.67,OK
ISIC_0026707,450,600,165.89,OK
ISIC_0030831,450,600,157.01,OK
ISIC_0029294,450,600,172.08,OK
ISIC_0028910,450,600,180.15,OK
ISIC_0028234,450,600,172.57,OK
ISIC_0031416,450,600,157.52,OK
ISIC_0026582,450,600,147.08,OK
ISIC_0031689,450,600,124.1,OK
ISIC_0029821,450,600,150.99,OK
ISIC_0031906,450,600,92.43,OK
ISIC_0029686,450,600,155.03,OK
ISIC_0027782,450,600,140.2,OK
ISIC_0026334,450,600,162.23,OK
ISIC_0026426,450,600,154.02,OK
ISIC_0026517,450,600,118.52,OK
ISIC_0032262,450,600,140.14,OK
ISIC_0030146,450,600,153.89,OK
ISIC_0029310,450,600,193.84,OK
ISIC_0027515,450,600,194.55,OK
ISIC_0030205,450,600,133.71,OK
ISIC_0029350,450,600,167.33,OK
ISIC_0028315,450,600,151.57,OK
ISIC_0030449,450,600,161.64,OK
ISIC_0027223,450,600,151.79,OK
ISIC_0027632,450,600,144.48,OK
ISIC_0031456,450,600,152.07,OK
ISIC_0029395,450,600,142.26,OK
ISIC_0026061,450,600,146.08,OK
ISIC_0026840,450,600,142.84,OK
ISIC_0029520,450,600,124.15,OK
ISIC_0030738,450,600,145.52,OK
ISIC_0025761,450,600,136.86,OK
ISIC_0029236,450,600,156.32,OK
ISIC_0024942,450,600,160.65,OK
ISIC_0029204,450,600,145.65,OK
ISIC_0027674,450,600,162.36,OK
ISIC_0030865,450,600,147.29,OK
ISIC_0028566,450,600,164.01,OK
ISIC_0025604,450,600,132.38,OK
ISIC_0024717,450,600,170.66,OK
ISIC_0025669,450,600,130.7,OK
ISIC_0032457,450,600,173.47,OK
ISIC_0028213,450,600,155.08,OK
ISIC_0030618,450,600,172.4,OK
ISIC_0024484,450,600,171.9,OK
ISIC_0025134,450,600,175.45,OK
ISIC_0029774,450,600,145.45,OK
ISIC_0027791,450,600,137.38,OK
ISIC_0027368,450,600,135.58,OK
ISIC_0028004,450,600,139.49,OK
ISIC_0026031,450,600,169.35,OK
ISIC_0030777,450,600,145.22,OK
ISIC_0024917,450,600,154.2,OK
ISIC_0031446,450,600,138.89,OK
ISIC_0025194,450,600,129.01,OK
ISIC_0030278,450,600,183.58,OK
ISIC_0025034,450,600,147.42,OK
ISIC_0028152,450,600,134.36,OK
ISIC_0025697,450,600,149.52,OK
ISIC_0031254,450,600,171.01,OK
ISIC_0030905,450,600,149.81,OK
ISIC_0026630,450,600,158.27,OK
ISIC_0030109,450,600,154.11,OK
ISIC_0031752,450,600,160.6,OK
ISIC_0031136,450,600,154.01,OK
ISIC_0028439,450,600,155.84,OK
ISIC_0025360,450,600,156.18,OK
ISIC_0028012,450,600,125.82,OK
ISIC_0030108,450,600,135.19,OK
ISIC_0027921,450,600,157.86,OK
ISIC_0030673,450,600,128.16,OK
ISIC_0028253,450,600,177.91,OK
ISIC_0025092,450,600,130.93,OK
ISIC_0032023,450,600,185.6,OK
ISIC_0031247,450,600,167.12,OK
ISIC_0027305,450,600,179.85,OK
ISIC_0027002,450,600,206.31,OK
ISIC_0026223,450,600,171.77,OK
ISIC_0029389,450,600,137.21,OK
ISIC_0024789,450,600,142.46,OK
ISIC_0030312,450,600,145.5,OK
ISIC_0026080,450,600,132.68,OK
ISIC_0029430,450,600,139.57,OK
ISIC_0027312,450,600,161.6,OK
ISIC_0031143,450,600,145.09,OK
ISIC_0031863,450,600,151.09,OK
ISIC_0031515,450,600,140.35,OK
ISIC_0029854,450,600,163.33,OK
ISIC_0031418,450,600,154.91,OK
ISIC_0027911,450,600,139.84,OK
ISIC_0026874,450,600,135.25,OK
ISIC_0027537,450,600,180.85,OK
ISIC_0024697,450,600,149.31,OK
ISIC_0027284,450,600,196.7,OK
ISIC_0031629,450,600,147.63,OK
ISIC_0032096,450,600,127.01,OK
ISIC_0029366,450,600,157.92,OK
ISIC_0032378,450,600,147.3,OK
ISIC_0027679,450,600,131.35,OK
ISIC_0024604,450,600,154.52,OK
ISIC_0027358,450,600,165.92,OK
ISIC_0030247,450,600,172.73,OK
ISIC_0031705,450,600,135.52,OK
